"Title","SJR","H index","Total Docs. (2017)","Total Docs. (3years)","Total Refs.","Total Cites (3years)","Citable Docs. (3years)","Cites / Doc. (2years)","Ref. / Doc.","Impact Factor"
"Iranian Journal of Fuzzy Systems",318,19,57,163,1688,177,163,1.21,29.61,1.27
"Pattern Analysis and Applications",378,46,146,211,3512,307,200,1.44,24.05,1.281
"International Journal on Document Analysis and Recognition",456,42,16,76,716,162,74,2.36,44.75,1.298
"Journal of Internet Technology",329,15,166,420,4425,576,392,1.43,26.66,1.301
"Machine Vision and Applications",485,53,66,297,2736,769,288,1.64,41.45,1.306
"Profesional de la Informacion",652,20,115,256,4036,298,256,1.25,35.1,1.318
"Computational Linguistics",419,82,19,81,1708,248,80,2.18,89.89,1.319
"Journal of Automated Reasoning",650,48,50,86,1324,201,83,1.8,26.48,1.321
"International Journal of Network Management",242,23,45,84,1372,110,78,1.57,30.49,1.34
"Scientific Programming",215,28,76,180,2516,172,175,0.97,33.11,1.344
"Computational Intelligence",409,44,51,83,1737,166,83,2.19,34.06,1.352
"Optimization and Engineering",446,31,39,114,1749,169,112,1.49,44.85,1.352
"Perception",546,79,94,333,4075,330,303,1.07,43.35,1.371
"Virtual Reality",295,35,27,67,806,107,62,2.09,29.85,1.375
"Informatica",465,28,6,35,206,67,35,2,34.33,1.386
"Information Technology for Development",413,27,58,105,2123,172,92,1.89,36.6,1.387
"INFORMS Journal on Computing",1504,65,48,162,1756,325,162,1.68,36.58,1.392
"IET Image Processing",340,29,152,315,5022,589,312,1.89,33.04,1.401
"Flow Measurement and Instrumentation",489,46,122,352,3287,586,346,1.6,26.94,1.407
"Journal of Global Optimization",1311,70,156,378,4261,704,362,1.61,27.31,1.407
"International Journal of Imaging Systems and Technology",380,41,41,103,1145,149,103,1.73,27.93,1.423
"Journal of Ambient Intelligence and Humanized Computing",352,19,78,217,2843,364,202,1.81,36.45,1.423
"BIT Numerical Mathematics",1364,46,61,174,1270,246,164,1.15,20.82,1.425
"Cognitive Systems Research",303,41,61,62,2716,82,59,1.45,44.52,1.425
"Expert Systems",429,31,58,141,1925,242,134,1.86,33.19,1.43
"IEEE Consumer Electronics Magazine",209,12,107,263,1365,220,263,0.9,12.76,1.434
"Biological Cybernetics",667,85,36,127,1521,245,122,1.65,42.25,1.44
"IET Communications",260,51,351,911,8842,1365,902,1.62,25.19,1.443
"International Journal of Circuit Theory and Applications",366,44,149,351,3684,493,342,1.43,24.72,1.444
"Molecular Simulation",571,46,177,464,8396,642,447,1.41,47.44,1.449
"Genetic Programming and Evolvable Machines",376,34,26,71,831,132,57,2.09,31.96,1.455
"Aslib Journal of Information Management",725,34,45,111,2331,220,111,1.79,51.8,1.461
"International Journal of Medical Robotics and Computer Assisted Surgery",440,42,110,207,3386,351,204,1.43,30.78,1.472
"Mathematics and Computers in Simulation",613,61,153,364,4533,606,353,1.53,29.63,1.476
"Bulletin of Mathematical Biology",717,74,140,320,4939,466,306,1.52,35.28,1.484
"ACM Transactions on Knowledge Discovery from Data",673,40,27,124,1217,397,123,2.4,45.07,1.489
"Big Data",327,14,22,89,886,133,78,1.92,40.27,1.489
"Electronic Commerce Research",418,31,52,83,1840,147,73,1.91,35.38,1.489
"Journal of Computer and System Sciences",545,78,120,309,3620,603,272,1.83,30.17,1.497
"Games and Culture",625,37,31,90,1525,129,88,1.66,49.19,1.5
"Journal of Semantics",1250,29,22,38,1235,42,37,1.38,56.14,1.5
"Journal of Molecular Modeling",360,57,361,1097,16567,1267,1089,1.28,45.89,1.507
"China Communications",314,20,217,763,5747,1304,731,1.84,26.48,1.514
"Peer-to-Peer Networking and Applications",285,15,158,229,3456,341,217,1.91,21.87,1.514
"Swarm Intelligence",709,28,18,40,548,117,39,2.27,30.44,1.52
"IEEE Computer Architecture Letters",346,27,28,101,468,210,101,2.01,16.71,1.521
"Computer Aided Geometric Design",683,61,52,192,1484,251,186,1.56,28.54,1.522
"Journal of Supercomputing",407,42,364,782,8518,1480,713,1.83,23.4,1.532
"ACM Transactions on Computing Education",691,22,24,65,1204,194,64,2.51,50.17,1.535
"Algorithms for Molecular Biology",1333,29,26,83,802,156,79,1.84,30.85,1.536
"Journal of Digital Imaging",540,44,109,274,2394,458,253,1.51,21.96,1.536
"Multimedia Tools and Applications",287,45,1952,2044,44556,2803,1926,1.42,22.83,1.541
"Journal of Computer Information Systems",670,51,89,114,2110,197,110,1.79,23.71,1.557
"Journal of Real-Time Image Processing",322,25,109,310,1522,407,210,1.98,13.96,1.574
"Speech Communication",546,87,84,259,4338,712,255,2.67,51.64,1.585
"Journal of Computing and Information Science in Engineering",627,43,55,121,1932,215,119,1.72,35.13,1.588
"Real-Time Systems",257,50,30,69,1031,156,63,2.19,34.37,1.595
"Software Quality Journal",312,35,81,110,1953,160,82,1.93,24.11,1.596
"Journal of Biomedical Semantics",952,26,58,158,2559,332,156,1.72,44.12,1.6
"Interactive Learning Environments",661,31,102,240,3521,311,215,1.4,34.52,1.604
"IT Professional",280,37,86,216,690,220,199,1.19,8.02,1.618
"Engineering Optimization",576,52,155,301,4225,607,300,1.7,27.26,1.622
"Eurasip Journal on Advances in Signal Processing",322,73,83,416,2860,693,404,1.64,34.46,1.639
"IEEE Computer Graphics and Applications",217,81,77,235,931,328,220,1.52,12.09,1.64
"Computational Intelligence and Neuroscience",326,37,125,415,4518,573,406,1.48,36.14,1.649
"Advances in Data Analysis and Classification",1090,19,55,86,1297,106,67,1.29,23.58,1.653
"International Journal of Information Security",555,33,68,111,1401,297,106,2.13,20.6,1.658
"Journal of Electronic Commerce Research",940,20,21,60,1468,119,60,1.69,69.9,1.667
"ACM Journal on Emerging Technologies in Computing Systems",308,30,46,146,1746,273,138,2.22,37.96,1.672
"International Journal for Numerical Methods in Fluids",1183,94,119,345,4669,746,339,2.03,39.24,1.673
"Online Information Review",625,46,64,168,3338,334,166,1.78,52.16,1.675
"Enterprise Information Systems",717,40,84,118,3774,330,109,2.47,44.93,1.683
"International Journal of Applied Mathematics and Computer Science",729,38,60,203,2137,443,203,2.33,35.62,1.694
"Multimedia Systems",312,52,101,151,2131,290,141,1.57,21.1,1.703
"International Journal of Communication Systems",326,37,333,608,10910,1136,605,1.64,32.76,1.717
