"Combination":"Mean Square Error":"Absolute Error"
"['SJR', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.395462:0.32745
"['SJR', 'Total Docs. (2017)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.395619:0.32615
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.39686:0.326981
"['SJR', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.397109:0.327121
"['SJR', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.397155:0.327574
"['SJR', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.397444:0.328801
"['SJR', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.397479:0.32762
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.39763:0.327814
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.397712:0.328143
"['SJR', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.397913:0.328344
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.399164:0.328691
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.399545:0.328936
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.400924:0.331891
"['SJR', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.401354:0.331769
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.401551:0.332706
"['SJR', 'Total Docs. (2017)', 'Cites / Doc. (2years)']":0.402934:0.327846
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.404621:0.334378
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)']":0.40463:0.328899
"['SJR', 'Total Docs. (3years)', 'Cites / Doc. (2years)']":0.404976:0.329127
"['SJR', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.405058:0.329346
"['SJR', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.405111:0.328926
"['SJR', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.405133:0.327761
"['SJR', 'H index', 'Total Docs. (2017)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.405152:0.326965
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.405233:0.333563
"['SJR', 'H index', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.405515:0.327411
"['SJR', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.405547:0.329104
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)']":0.405796:0.329616
"['SJR', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.40585:0.332725
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']":0.406132:0.330099
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.406184:0.32783
"['SJR', 'H index', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.406221:0.327456
"['SJR', 'Cites / Doc. (2years)']":0.406403:0.331485
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.406736:0.334559
"['SJR', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.406854:0.33018
"['SJR', 'Total Refs.', 'Cites / Doc. (2years)']":0.406895:0.329755
"['SJR', 'H index', 'Total Docs. (2017)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.406937:0.327946
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.407108:0.328752
"['SJR', 'H index', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.40712:0.3287
"['SJR', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.407193:0.334217
"['SJR', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)']":0.40775:0.330858
"['SJR', 'H index', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.407783:0.328341
"['SJR', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.407836:0.329407
"['SJR', 'H index', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.40786:0.329052
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.408064:0.329185
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.408068:0.328305
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)']":0.408092:0.330829
"['SJR', 'Total Docs. (2017)', 'Total Refs.', 'Total Cites (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.408608:0.329559
"['SJR', 'H index', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.408753:0.330888
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Total Refs.', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.408912:0.329764
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Docs. (3years)', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.409565:0.331749
"['SJR', 'H index', 'Total Docs. (2017)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.409732:0.330011
"['SJR', 'H index', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.409809:0.330147
"['SJR', 'H index', 'Total Docs. (3years)', 'Total Refs.', 'Citable Docs. (3years)', 'Cites / Doc. (2years)', 'Ref. / Doc.']":0.410615:0.33282
